college,hair,log_income
FALSE,Other Color,5.071222436562652
FALSE,Other Color,5.97029002598341
TRUE,Other Color,5.5100352516349584
FALSE,Other Color,4.860451437513692
FALSE,Brown,4.773688865773864
FALSE,Brown,4.981190493154895
FALSE,Other Color,5.893558893245563
TRUE,Other Color,5.411114510660006
FALSE,Other Color,4.51122020616461
FALSE,Brown,4.879628074894953
FALSE,Brown,2.803754219897488
FALSE,Brown,5.376912276234543
FALSE,Other Color,5.97381626739689
TRUE,Brown,4.1634057391814405
FALSE,Other Color,5.096082134851769
FALSE,Brown,4.614650263850887
FALSE,Other Color,4.211600973187973
TRUE,Other Color,5.287839854097785
FALSE,Other Color,4.257654063748401
FALSE,Brown,5.022643293461885
FALSE,Brown,6.423272814553147
TRUE,Brown,3.598538081724868
FALSE,Other Color,4.326521875473404
FALSE,Other Color,4.5702932877407845
TRUE,Other Color,6.447868844016251
FALSE,Brown,5.98387993168975
FALSE,Brown,5.042108048702143
FALSE,Other Color,3.77267564655552
FALSE,Brown,5.375203287833112
FALSE,Brown,5.202265722640098
FALSE,Other Color,5.501780206069592
FALSE,Brown,5.102300227160444
FALSE,Brown,3.6971975092751994
FALSE,Brown,4.812549501872982
TRUE,Other Color,6.7017123015356965
FALSE,Other Color,3.32925172821348
TRUE,Other Color,5.351231258420144
TRUE,Other Color,6.787620291077874
FALSE,Other Color,4.54676982024991
FALSE,Other Color,5.50496207186025
FALSE,Other Color,4.519427038829877
FALSE,Other Color,5.410598604010575
TRUE,Other Color,3.866895509633201
FALSE,Other Color,4.37887389147059
FALSE,Other Color,6.069068154823803
FALSE,Brown,7.386716269716466
FALSE,Other Color,4.574744523631076
FALSE,Other Color,5.374483577028731
FALSE,Other Color,6.213790443308694
FALSE,Other Color,4.775778834934525
FALSE,Other Color,5.145566498608
FALSE,Brown,5.856803669556397
FALSE,Other Color,2.616994412928001
FALSE,Other Color,5.6272287427764835
TRUE,Brown,4.4305135006707665
FALSE,Brown,5.208723341442275
FALSE,Other Color,4.677802227036219
TRUE,Other Color,5.123495383330302
TRUE,Other Color,6.121583526864571
FALSE,Brown,5.422003299155687
FALSE,Brown,4.587560779660246
FALSE,Brown,5.214246948409774
FALSE,Brown,5.997302571480656
FALSE,Other Color,5.528661864242853
FALSE,Other Color,3.5425475346843798
TRUE,Other Color,2.2449220596560187
TRUE,Brown,5.679208051944917
FALSE,Other Color,4.635248526868568
FALSE,Other Color,5.405044180482061
TRUE,Brown,5.613753523723319
TRUE,Other Color,4.733318491050581
TRUE,Brown,5.673105996839297
TRUE,Other Color,5.7770162692275004
FALSE,Brown,6.064090534309366
TRUE,Other Color,5.3000097654341305
FALSE,Other Color,4.125545699887542
TRUE,Other Color,5.001298451520841
FALSE,Brown,3.862960875420033
FALSE,Brown,5.237523355413969
TRUE,Other Color,3.7665947155268906
FALSE,Brown,7.215050099560726
TRUE,Other Color,3.322045690610883
FALSE,Brown,4.977942419140251
FALSE,Brown,7.124177907608349
FALSE,Brown,4.012253640544002
FALSE,Other Color,4.151120386927359
TRUE,Other Color,3.1431254259134214
TRUE,Other Color,3.680528332810275
TRUE,Brown,4.255152837570925
FALSE,Other Color,3.4137845915134672
FALSE,Brown,5.476229715383602
TRUE,Other Color,6.672539451936197
TRUE,Other Color,4.345389411950702
FALSE,Other Color,3.872180153718978
FALSE,Brown,6.269220850822415
FALSE,Brown,3.629550697079695
FALSE,Other Color,5.348784130696809
FALSE,Brown,5.872044219926447
FALSE,Brown,7.153425415496526
FALSE,Other Color,5.467850088807497
FALSE,Other Color,4.170371005906079
TRUE,Other Color,6.546526351239476
TRUE,Brown,3.6801207533118103
FALSE,Other Color,5.546131309063667
FALSE,Brown,5.191089818059558
FALSE,Other Color,2.6862000857603228
FALSE,Brown,5.032006268330043
FALSE,Other Color,5.398153284449417
FALSE,Other Color,5.016187816921541
TRUE,Brown,6.842006386601744
FALSE,Brown,4.648928842284365
FALSE,Brown,3.7127311839182737
FALSE,Other Color,4.716982820708815
FALSE,Brown,5.27334452772434
FALSE,Brown,2.7341801103663244
FALSE,Other Color,4.6177678483649
TRUE,Other Color,5.838559987965075
FALSE,Other Color,4.906321779239382
FALSE,Other Color,5.592440716447433
FALSE,Brown,6.63716198184159
FALSE,Other Color,3.1752172343403355
FALSE,Other Color,6.420086321538118
FALSE,Other Color,5.724392378630478
FALSE,Other Color,6.385940597820773
FALSE,Other Color,5.672720297605342
FALSE,Brown,5.191300191866118
FALSE,Brown,7.002990269641632
FALSE,Other Color,4.791334948145987
TRUE,Other Color,3.2045637928316113
FALSE,Other Color,5.051687756563826
FALSE,Other Color,3.06007670198428
FALSE,Other Color,6.397018434081717
FALSE,Brown,3.663155945258919
FALSE,Other Color,6.199542500822785
FALSE,Brown,4.378099716657644
FALSE,Brown,4.7441893867175216
FALSE,Brown,6.586872515403773
TRUE,Other Color,5.6775493613956325
FALSE,Brown,3.729775758321491
FALSE,Other Color,4.82288104247718
TRUE,Other Color,4.867440890855354
TRUE,Other Color,4.309781023850327
FALSE,Other Color,5.640716408089931
FALSE,Brown,7.737351482373675
FALSE,Other Color,3.899301441070846
FALSE,Other Color,4.79192971498697
TRUE,Other Color,7.876125617116227
FALSE,Brown,5.309410480523767
TRUE,Other Color,4.85527492070148
TRUE,Other Color,5.195465964776609
FALSE,Other Color,3.3313727834767244
FALSE,Brown,4.955391909490773
FALSE,Other Color,3.9152067918161997
FALSE,Brown,3.853687391651159
FALSE,Brown,5.32109416309523
FALSE,Brown,4.35684816151773
TRUE,Other Color,5.706516386132895
TRUE,Other Color,5.646721697848128
TRUE,Other Color,5.570860468029778
FALSE,Other Color,5.131782221669029
FALSE,Brown,5.6204020492320055
FALSE,Brown,3.9886188340553383
FALSE,Other Color,3.7191243784642074
TRUE,Other Color,4.410446085213316
FALSE,Other Color,6.135846351879561
TRUE,Other Color,5.159004857254976
FALSE,Other Color,4.8367645199012905
FALSE,Other Color,4.777530567364397
TRUE,Other Color,5.302968149005857
TRUE,Brown,5.823807648790757
FALSE,Brown,5.132238971544663
FALSE,Other Color,5.980462765500885
FALSE,Brown,6.359453850477344
FALSE,Brown,6.175232013507858
FALSE,Brown,5.276426020394543
TRUE,Other Color,6.613937465825146
FALSE,Other Color,5.1609716612610645
FALSE,Brown,5.317567578115896
FALSE,Brown,5.225278327236745
FALSE,Other Color,5.725674124786537
FALSE,Brown,4.4693099523380075
FALSE,Brown,4.30049353344171
FALSE,Other Color,6.6330269289873804
TRUE,Other Color,3.8431678771359756
FALSE,Brown,6.3886304322698955
FALSE,Other Color,3.3861417843823545
FALSE,Brown,6.910763836320794
FALSE,Other Color,4.942376899903635
TRUE,Other Color,7.61506334323226
TRUE,Brown,5.640240115639074
TRUE,Other Color,4.591683288138853
FALSE,Other Color,5.876135179728083
TRUE,Other Color,5.464185675172388
TRUE,Other Color,5.907408266944144
TRUE,Other Color,5.451886041186151
TRUE,Other Color,6.586060422318787
FALSE,Other Color,5.955614297356932
TRUE,Other Color,4.80262835828151
FALSE,Other Color,5.23732729082501
FALSE,Brown,6.741245989283628
FALSE,Brown,5.295147042365679
FALSE,Brown,6.3449253708035815
FALSE,Other Color,6.106597439344771
FALSE,Brown,5.340714012842479
TRUE,Other Color,6.027899204392383
FALSE,Other Color,4.452717692123344
FALSE,Other Color,4.951417297118498
FALSE,Brown,7.035568329823994
TRUE,Other Color,5.453597550760227
TRUE,Brown,6.5528896861615795
FALSE,Brown,4.678277431098528
FALSE,Other Color,2.6220073991734294
FALSE,Other Color,4.097511022732725
TRUE,Other Color,4.962238313856705
FALSE,Other Color,3.7819940170984196
FALSE,Brown,5.9441254114341335
FALSE,Brown,5.091626977013988
FALSE,Brown,4.133921539985605
FALSE,Brown,6.183139249310766
FALSE,Brown,4.77451265671488
FALSE,Brown,3.940605539656404
TRUE,Other Color,5.08994350587067
FALSE,Other Color,5.156327311375533
FALSE,Brown,7.483137494915138
FALSE,Other Color,5.26535607267507
FALSE,Brown,4.7339024459019985
FALSE,Other Color,4.009784324282382
TRUE,Other Color,5.364341687007857
TRUE,Other Color,4.8662512700109595
TRUE,Other Color,6.027944525860564
FALSE,Other Color,5.269265104828772
TRUE,Brown,6.755229901117877
FALSE,Brown,5.322469470914911
TRUE,Other Color,3.8072851933753125
FALSE,Other Color,4.1219321607938735
FALSE,Brown,5.078145867148873
TRUE,Other Color,5.802144247645602
FALSE,Brown,7.547258821548656
FALSE,Other Color,5.6660588555607925
FALSE,Other Color,5.586361811863445
TRUE,Other Color,3.93194144664996
FALSE,Brown,5.458552139956697
TRUE,Other Color,3.886359566439242
TRUE,Other Color,4.619385912124924
FALSE,Brown,5.964765519170322
FALSE,Other Color,5.95430786739449
TRUE,Other Color,4.785198553994596
TRUE,Brown,4.741381758035024
FALSE,Other Color,4.729723850898555
FALSE,Brown,6.993119426641889
FALSE,Other Color,2.3030135224836497
TRUE,Other Color,5.067719917359312
TRUE,Other Color,6.305785183319925
FALSE,Brown,4.937026147726485
TRUE,Other Color,4.019030587016417
FALSE,Brown,5.750834549167319
TRUE,Other Color,6.077332548062815
FALSE,Brown,3.8737210405358176
FALSE,Other Color,4.68680691500034
FALSE,Other Color,5.6590918216230515
FALSE,Other Color,4.225780968578034
TRUE,Brown,5.25843646215136
FALSE,Brown,4.8595499172626395
FALSE,Other Color,4.828024944281897
FALSE,Brown,4.928081930651476
TRUE,Other Color,6.486088305472025
FALSE,Brown,6.199409555136664
TRUE,Brown,5.7741631659634916
FALSE,Other Color,4.788013289027749
FALSE,Brown,3.4385028821903356
TRUE,Brown,4.365710132275474
FALSE,Other Color,6.112398282831856
FALSE,Brown,4.200882229762639
TRUE,Other Color,4.888469103634086
FALSE,Other Color,6.091914021390335
FALSE,Brown,3.795446829076057
FALSE,Other Color,6.743356395167988
FALSE,Other Color,4.888631200258516
FALSE,Brown,2.6850108361279483
FALSE,Other Color,3.966408451068548
FALSE,Brown,4.818580835676673
